resgate_id,carrinho_id,cliente_id,canal,tipo_comunicacao,data_schedule,data_envio,assunto,desconto_oferecido,frete_gratis_oferecido,custo_envio,data_abertura,data_primeiro_clique,link_clicado,data_conversao,sucesso,valor_pedido_final,created_at
30,42,1197,email,urgencia_72h,2026-02-16 10:40:00+00:00,2026-02-16 11:09:00+00:00,Só hoje! Oferta exclusiva para você finalizar,4.14,True,0.05,,,,,False,,2026-02-16 10:40:00+00:00
31,43,1249,email,lembrete_1h,2026-03-25 15:20:00+00:00,2026-03-25 15:21:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,2026-03-26 13:02:00+00:00,,,,False,,2026-03-25 15:20:00+00:00
32,43,1249,push_app,lembrete_24h,2026-03-26 14:20:00+00:00,2026-03-26 14:27:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,False,0.02,2026-03-26 21:16:00+00:00,,,,False,,2026-03-26 14:20:00+00:00
33,43,1249,email,desconto_48h,2026-03-27 14:20:00+00:00,2026-03-27 14:27:00+00:00,🎁 Desconto especial para finalizar sua compra!,11.44,False,0.05,,,,,False,,2026-03-27 14:20:00+00:00
34,43,1249,email,urgencia_72h,2026-03-28 14:20:00+00:00,2026-03-28 14:31:00+00:00,🔥 ÚLTIMA CHANCE: desconto + frete grátis!,18.64,True,0.05,,,,,False,,2026-03-28 14:20:00+00:00
35,45,1410,email,lembrete_1h,2026-06-22 20:03:00+00:00,2026-06-22 20:05:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-06-22 20:03:00+00:00
36,46,79,email,lembrete_1h,2026-06-08 17:44:00+00:00,2026-06-08 18:09:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-06-08 17:44:00+00:00
37,48,932,email,lembrete_1h,2026-01-04 00:22:00+00:00,2026-01-04 00:23:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-01-04 00:22:00+00:00
38,49,316,email,lembrete_1h,2026-01-24 14:24:00+00:00,2026-01-24 14:42:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-01-24 14:24:00+00:00
39,49,316,email,lembrete_24h,2026-01-25 13:24:00+00:00,2026-01-25 13:45:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,,,,,False,,2026-01-25 13:24:00+00:00
40,50,838,email,lembrete_1h,2026-01-15 12:25:00+00:00,2026-01-15 12:28:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-01-16 11:58:00+00:00,,,,False,,2026-01-15 12:25:00+00:00
41,50,838,push_app,lembrete_24h,2026-01-16 11:25:00+00:00,2026-01-16 11:29:00+00:00,Última chance de garantir seus itens,0.0,False,0.02,,,,,False,,2026-01-16 11:25:00+00:00
42,50,838,sms,desconto_48h,2026-01-17 11:25:00+00:00,2026-01-17 11:52:00+00:00,🎁 Desconto especial para finalizar sua compra!,10.13,False,0.15,2026-01-18 09:04:00+00:00,,,,False,,2026-01-17 11:25:00+00:00
43,53,1394,email,lembrete_1h,2026-04-13 10:39:00+00:00,2026-04-13 10:47:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-04-13 19:12:00+00:00,,,,False,,2026-04-13 10:39:00+00:00
44,55,884,email,lembrete_1h,2026-06-14 11:51:00+00:00,2026-06-14 12:11:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,2026-06-15 04:05:00+00:00,,,,False,,2026-06-14 11:51:00+00:00
45,58,411,email,lembrete_1h,2026-02-21 15:50:00+00:00,2026-02-21 16:05:00+00:00,Seus produtos estão esperando por você!,0.0,True,0.05,2026-02-22 04:27:00+00:00,,,,False,,2026-02-21 15:50:00+00:00
46,60,263,email,lembrete_1h,2026-03-25 14:39:00+00:00,2026-03-25 14:57:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-03-25 14:39:00+00:00
47,60,263,email,lembrete_24h,2026-03-26 13:39:00+00:00,2026-03-26 13:44:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,,,,,False,,2026-03-26 13:39:00+00:00
48,60,263,email,desconto_48h,2026-03-27 13:39:00+00:00,2026-03-27 14:03:00+00:00,Presente para você: desconto exclusivo no seu carrinho,69.59,False,0.05,,,,,False,,2026-03-27 13:39:00+00:00
49,63,724,email,lembrete_1h,2026-05-17 22:22:00+00:00,2026-05-17 22:37:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-05-17 21:49:00+00:00,,,,False,,2026-05-17 22:22:00+00:00
50,66,835,email,lembrete_1h,2026-03-04 20:17:00+00:00,2026-03-04 20:32:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,2026-03-05 03:55:00+00:00,,,,False,,2026-03-04 20:17:00+00:00
51,66,835,push_app,lembrete_24h,2026-03-05 19:17:00+00:00,2026-03-05 19:31:00+00:00,Não perca! Seus produtos podem acabar,0.0,False,0.02,,,,,False,,2026-03-05 19:17:00+00:00
52,66,835,email,desconto_48h,2026-03-06 19:17:00+00:00,2026-03-06 19:39:00+00:00,Economize agora! Oferta limitada no seu carrinho,7.69,False,0.05,,,,,False,,2026-03-06 19:17:00+00:00
53,68,808,email,lembrete_1h,2026-01-01 23:35:00+00:00,2026-01-01 23:46:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-01-01 23:35:00+00:00
54,69,811,email,lembrete_1h,2026-05-05 17:33:00+00:00,2026-05-05 17:39:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,2026-05-05 21:06:00+00:00,,,,False,,2026-05-05 17:33:00+00:00
55,69,811,email,lembrete_24h,2026-05-06 16:33:00+00:00,2026-05-06 17:01:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,2026-05-06 23:36:00+00:00,,,,False,,2026-05-06 16:33:00+00:00
56,70,1024,email,lembrete_1h,2026-06-14 11:29:00+00:00,2026-06-14 11:29:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-06-14 11:29:00+00:00
57,71,736,email,lembrete_1h,2026-05-09 08:58:00+00:00,2026-05-09 08:59:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,2026-05-10 06:14:00+00:00,,,,False,,2026-05-09 08:58:00+00:00
58,72,671,email,lembrete_1h,2026-06-08 18:27:00+00:00,2026-06-08 18:49:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-06-08 18:27:00+00:00
59,72,671,push_app,lembrete_24h,2026-06-09 17:27:00+00:00,2026-06-09 17:28:00+00:00,Última chance de garantir seus itens,0.0,False,0.02,,,,,False,,2026-06-09 17:27:00+00:00
60,74,6,email,lembrete_1h,2026-03-05 21:02:00+00:00,2026-03-05 21:29:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-03-05 21:02:00+00:00
61,74,6,push_app,lembrete_24h,2026-03-06 20:02:00+00:00,2026-03-06 20:07:00+00:00,Última chance de garantir seus itens,0.0,False,0.02,,,,,False,,2026-03-06 20:02:00+00:00
62,74,6,email,desconto_48h,2026-03-07 20:02:00+00:00,2026-03-07 20:11:00+00:00,Presente para você: desconto exclusivo no seu carrinho,12.35,False,0.05,,,,,False,,2026-03-07 20:02:00+00:00
63,74,6,email,urgencia_72h,2026-03-08 20:02:00+00:00,2026-03-08 20:03:00+00:00,Não deixe escapar: melhor oferta no seu carrinho,30.71,True,0.05,,,,,False,,2026-03-08 20:02:00+00:00
64,75,174,email,lembrete_1h,2026-05-22 13:23:00+00:00,2026-05-22 13:35:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,True,0.05,,,,,False,,2026-05-22 13:23:00+00:00
65,79,1118,email,lembrete_1h,2026-05-18 23:24:00+00:00,2026-05-18 23:46:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-05-19 08:07:00+00:00,,,,False,,2026-05-18 23:24:00+00:00
66,81,37,email,lembrete_1h,2026-02-18 17:42:00+00:00,2026-02-18 18:09:00+00:00,Seus produtos estão esperando por você!,0.0,True,0.05,2026-02-19 11:26:00+00:00,,,,False,,2026-02-18 17:42:00+00:00
67,84,105,email,lembrete_1h,2026-03-22 20:59:00+00:00,2026-03-22 21:26:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-03-22 20:59:00+00:00
68,85,380,email,lembrete_1h,2026-05-22 00:02:00+00:00,2026-05-22 00:13:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-05-22 00:02:00+00:00
69,85,380,email,lembrete_24h,2026-05-22 23:02:00+00:00,2026-05-22 23:28:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,2026-05-23 04:20:00+00:00,,,,False,,2026-05-22 23:02:00+00:00
70,85,380,email,desconto_48h,2026-05-23 23:02:00+00:00,2026-05-23 23:22:00+00:00,🎁 Desconto especial para finalizar sua compra!,22.72,False,0.05,2026-05-23 22:43:00+00:00,,,,False,,2026-05-23 23:02:00+00:00
71,87,365,email,lembrete_1h,2026-05-28 11:41:00+00:00,2026-05-28 12:10:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,2026-05-29 03:00:00+00:00,2026-05-29 03:57:00+00:00,https://marketplace.com.br/carrinho/87?utm_source=email&utm_campaign=recovery,,False,,2026-05-28 11:41:00+00:00
72,90,1233,email,lembrete_1h,2026-06-19 08:01:00+00:00,2026-06-19 08:24:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-06-19 08:01:00+00:00
73,90,1233,email,lembrete_24h,2026-06-20 07:01:00+00:00,2026-06-20 07:23:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,,,,,False,,2026-06-20 07:01:00+00:00
74,91,1036,email,lembrete_1h,2026-01-10 11:16:00+00:00,2026-01-10 11:42:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-01-11 07:12:00+00:00,,,,False,,2026-01-10 11:16:00+00:00
75,91,1036,email,lembrete_24h,2026-01-11 10:16:00+00:00,2026-01-11 10:31:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,False,0.05,,,,,False,,2026-01-11 10:16:00+00:00
76,91,1036,email,desconto_48h,2026-01-12 10:16:00+00:00,2026-01-12 10:31:00+00:00,Economize agora! Oferta limitada no seu carrinho,41.36,False,0.05,,,,,False,,2026-01-12 10:16:00+00:00
77,92,258,email,lembrete_1h,2026-04-17 11:36:00+00:00,2026-04-17 11:52:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-04-18 03:47:00+00:00,,,,False,,2026-04-17 11:36:00+00:00
78,94,274,email,lembrete_1h,2026-01-14 15:20:00+00:00,2026-01-14 15:48:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-01-14 15:20:00+00:00
79,95,1162,email,lembrete_1h,2026-02-26 19:45:00+00:00,2026-02-26 20:00:00+00:00,Seus produtos estão esperando por você!,0.0,True,0.05,2026-02-27 08:04:00+00:00,,,,False,,2026-02-26 19:45:00+00:00
80,95,1162,email,lembrete_24h,2026-02-27 18:45:00+00:00,2026-02-27 19:01:00+00:00,Não perca! Seus produtos podem acabar,0.0,True,0.05,,,,,False,,2026-02-27 18:45:00+00:00
81,95,1162,email,desconto_48h,2026-02-28 18:45:00+00:00,2026-02-28 18:51:00+00:00,🎁 Desconto especial para finalizar sua compra!,7.59,True,0.05,,,,,False,,2026-02-28 18:45:00+00:00
82,98,217,email,lembrete_1h,2026-05-02 11:44:00+00:00,2026-05-02 11:58:00+00:00,Finalize sua compra antes que acabe!,0.0,True,0.05,,,,,False,,2026-05-02 11:44:00+00:00
83,98,217,email,lembrete_24h,2026-05-03 10:44:00+00:00,2026-05-03 10:51:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,False,0.05,,,,,False,,2026-05-03 10:44:00+00:00
84,100,349,email,lembrete_1h,2026-01-19 10:50:00+00:00,2026-01-19 11:18:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-01-19 10:50:00+00:00
85,103,449,email,lembrete_1h,2026-02-02 21:56:00+00:00,2026-02-02 22:15:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,2026-02-03 01:18:00+00:00,,,,False,,2026-02-02 21:56:00+00:00
86,103,449,email,lembrete_24h,2026-02-03 20:56:00+00:00,2026-02-03 21:02:00+00:00,Não perca! Seus produtos podem acabar,0.0,False,0.05,,,,,False,,2026-02-03 20:56:00+00:00
87,104,1443,email,lembrete_1h,2026-06-09 14:44:00+00:00,2026-06-09 15:07:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,2026-06-10 07:43:00+00:00,,,,False,,2026-06-09 14:44:00+00:00
88,108,1133,email,lembrete_1h,2026-02-09 11:24:00+00:00,2026-02-09 11:33:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-02-09 11:24:00+00:00
89,109,952,email,lembrete_1h,2026-05-09 11:40:00+00:00,2026-05-09 11:52:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-05-09 11:40:00+00:00
90,109,952,push_app,lembrete_24h,2026-05-10 10:40:00+00:00,2026-05-10 10:42:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,False,0.02,,,,,False,,2026-05-10 10:40:00+00:00
91,109,952,email,desconto_48h,2026-05-11 10:40:00+00:00,2026-05-11 11:08:00+00:00,🎁 Desconto especial para finalizar sua compra!,38.33,False,0.05,,,,,False,,2026-05-11 10:40:00+00:00
92,110,259,email,lembrete_1h,2026-06-07 00:54:00+00:00,2026-06-07 01:15:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-06-07 00:54:00+00:00
93,110,259,email,lembrete_24h,2026-06-07 23:54:00+00:00,2026-06-08 00:21:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,,,,,False,,2026-06-07 23:54:00+00:00
94,110,259,email,desconto_48h,2026-06-08 23:54:00+00:00,2026-06-09 00:22:00+00:00,Presente para você: desconto exclusivo no seu carrinho,43.09,False,0.05,2026-06-09 12:00:00+00:00,,,,False,,2026-06-08 23:54:00+00:00
95,111,194,email,lembrete_1h,2026-06-15 16:18:00+00:00,2026-06-15 16:37:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,2026-06-16 00:54:00+00:00,,,,False,,2026-06-15 16:18:00+00:00
96,111,194,email,lembrete_24h,2026-06-16 15:18:00+00:00,2026-06-16 15:26:00+00:00,Não perca! Seus produtos podem acabar,0.0,False,0.05,,,,,False,,2026-06-16 15:18:00+00:00
97,112,337,email,lembrete_1h,2026-04-28 15:19:00+00:00,2026-04-28 15:42:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-04-28 17:09:00+00:00,2026-04-28 17:19:00+00:00,https://marketplace.com.br/carrinho/112?utm_source=email&utm_campaign=recovery,,False,,2026-04-28 15:19:00+00:00
98,113,276,email,lembrete_1h,2026-04-26 22:22:00+00:00,2026-04-26 22:27:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-04-26 22:22:00+00:00
99,114,1417,email,lembrete_1h,2026-05-27 16:08:00+00:00,2026-05-27 16:29:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-05-27 16:08:00+00:00
100,115,1026,email,lembrete_1h,2026-05-17 17:55:00+00:00,2026-05-17 18:07:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-05-17 17:55:00+00:00
101,117,709,email,lembrete_1h,2026-05-12 13:41:00+00:00,2026-05-12 14:03:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-05-12 13:41:00+00:00
102,118,112,email,lembrete_1h,2026-03-23 18:38:00+00:00,2026-03-23 18:39:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-03-23 18:38:00+00:00
103,118,112,email,lembrete_24h,2026-03-24 17:38:00+00:00,2026-03-24 17:57:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,,,,,False,,2026-03-24 17:38:00+00:00
104,120,1477,email,lembrete_1h,2026-05-10 18:57:00+00:00,2026-05-10 19:20:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-05-10 18:57:00+00:00
105,122,942,email,lembrete_1h,2026-06-15 18:47:00+00:00,2026-06-15 18:47:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-06-16 18:34:00+00:00,,,,False,,2026-06-15 18:47:00+00:00
106,123,807,email,lembrete_1h,2026-03-01 14:24:00+00:00,2026-03-01 14:44:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-03-01 14:24:00+00:00
107,124,603,email,lembrete_1h,2026-01-03 16:38:00+00:00,2026-01-03 16:41:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-01-03 16:38:00+00:00
108,125,319,email,lembrete_1h,2026-01-11 11:49:00+00:00,2026-01-11 11:55:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-01-11 11:49:00+00:00
109,125,319,push_app,lembrete_24h,2026-01-12 10:49:00+00:00,2026-01-12 11:01:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,False,0.02,,,,,False,,2026-01-12 10:49:00+00:00
110,126,1146,email,lembrete_1h,2026-03-28 15:36:00+00:00,2026-03-28 15:57:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-03-29 08:22:00+00:00,,,,False,,2026-03-28 15:36:00+00:00
111,126,1146,email,lembrete_24h,2026-03-29 14:36:00+00:00,2026-03-29 14:39:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,False,0.05,,,,,False,,2026-03-29 14:36:00+00:00
112,126,1146,email,desconto_48h,2026-03-30 14:36:00+00:00,2026-03-30 14:39:00+00:00,Presente para você: desconto exclusivo no seu carrinho,48.95,False,0.05,,,,,False,,2026-03-30 14:36:00+00:00
113,126,1146,whatsapp,urgencia_72h,2026-03-31 14:36:00+00:00,2026-03-31 14:56:00+00:00,Só hoje! Oferta exclusiva para você finalizar,89.25,True,0.3,2026-04-01 04:38:00+00:00,2026-04-01 05:29:00+00:00,https://marketplace.com.br/carrinho/126?utm_source=whatsapp&utm_campaign=recovery,,False,,2026-03-31 14:36:00+00:00
114,128,99,email,lembrete_1h,2026-06-18 10:33:00+00:00,2026-06-18 10:58:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-06-18 10:33:00+00:00
115,129,1458,email,lembrete_1h,2026-01-05 08:44:00+00:00,2026-01-05 08:47:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-01-05 08:44:00+00:00
116,129,1458,email,lembrete_24h,2026-01-06 07:44:00+00:00,2026-01-06 07:52:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,False,0.05,,,,,False,,2026-01-06 07:44:00+00:00
117,130,1339,email,lembrete_1h,2026-02-20 10:19:00+00:00,2026-02-20 10:35:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,2026-02-21 04:37:00+00:00,2026-02-21 04:51:00+00:00,https://marketplace.com.br/carrinho/130?utm_source=email&utm_campaign=recovery,,False,,2026-02-20 10:19:00+00:00
118,131,1160,email,lembrete_1h,2026-03-05 19:18:00+00:00,2026-03-05 19:41:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,2026-03-06 16:04:00+00:00,,,,False,,2026-03-05 19:18:00+00:00
119,133,592,email,lembrete_1h,2026-03-17 08:15:00+00:00,2026-03-17 08:20:00+00:00,Finalize sua compra antes que acabe!,0.0,True,0.05,2026-03-17 22:18:00+00:00,,,,False,,2026-03-17 08:15:00+00:00
120,134,1453,email,lembrete_1h,2026-04-23 11:47:00+00:00,2026-04-23 12:09:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-04-23 11:47:00+00:00
121,134,1453,email,lembrete_24h,2026-04-24 10:47:00+00:00,2026-04-24 10:52:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,,,,,False,,2026-04-24 10:47:00+00:00
122,134,1453,email,desconto_48h,2026-04-25 10:47:00+00:00,2026-04-25 11:13:00+00:00,Economize agora! Oferta limitada no seu carrinho,4.3,False,0.05,2026-04-26 02:56:00+00:00,,,,False,,2026-04-25 10:47:00+00:00
123,139,512,email,lembrete_1h,2026-04-16 10:46:00+00:00,2026-04-16 11:07:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-04-17 09:32:00+00:00,,,,False,,2026-04-16 10:46:00+00:00
