pedido_id,carrinho_id,cliente_id,data_pedido,valor_subtotal,valor_frete,valor_desconto,valor_total,metodo_pagamento,status_pedido,origem_recuperacao,resgate_id,created_at
46,181,368,2026-02-16 14:20:00+00:00,674.06,28.61,69.89,632.78,cartao_credito,entregue,True,,2026-02-16 14:20:00+00:00
47,185,542,2026-03-16 11:49:00+00:00,266.75,5.88,19.7,252.93,cartao_credito,entregue,True,,2026-03-16 11:49:00+00:00
48,186,946,2026-05-25 20:46:00+00:00,631.61,10.58,0.0,642.19,pix,entregue,False,,2026-05-25 20:46:00+00:00
49,188,579,2026-01-14 23:46:00+00:00,115.21,11.11,0.0,126.32,boleto,entregue,False,,2026-01-14 23:46:00+00:00
50,189,385,2026-04-08 08:16:00+00:00,674.78,13.48,0.0,688.26,boleto,entregue,False,,2026-04-08 08:16:00+00:00
51,194,871,2026-04-20 22:32:00+00:00,30.51,44.56,0.0,75.07,cartao_credito,entregue,False,,2026-04-20 22:32:00+00:00
52,195,356,2026-02-13 15:41:00+00:00,121.86,38.08,0.0,159.94,pix,confirmado,False,,2026-02-13 15:41:00+00:00
53,196,369,2026-03-19 14:54:00+00:00,560.65,15.31,0.0,575.96,cartao_debito,entregue,False,,2026-03-19 14:54:00+00:00
54,199,872,2026-02-15 20:37:00+00:00,497.24,22.25,0.0,519.49,pix,entregue,False,,2026-02-15 20:37:00+00:00
55,212,526,2026-06-11 18:12:00+00:00,69.03,0.0,0.0,69.03,cartao_credito,cancelado,False,,2026-06-11 18:12:00+00:00
56,221,90,2026-05-28 20:01:00+00:00,73.19,39.53,7.38,105.34,pix,confirmado,True,,2026-05-28 20:01:00+00:00
57,223,518,2026-04-24 21:30:00+00:00,472.41,32.95,0.0,505.36,pix,entregue,False,,2026-04-24 21:30:00+00:00
58,224,983,2026-02-24 15:02:00+00:00,114.07,40.0,0.0,154.07,pix,entregue,False,,2026-02-24 15:02:00+00:00
59,225,1187,2026-02-15 07:27:00+00:00,578.17,18.6,0.0,596.77,boleto,enviado,False,,2026-02-15 07:27:00+00:00
60,227,1129,2026-04-23 11:44:00+00:00,243.21,33.3,0.0,276.51,pix,cancelado,False,,2026-04-23 11:44:00+00:00
61,228,61,2026-05-13 10:23:00+00:00,154.02,0.0,0.0,154.02,cartao_credito,entregue,True,215,2026-05-13 10:23:00+00:00
62,229,907,2026-01-14 08:05:00+00:00,488.52,37.04,32.97,492.59,pix,confirmado,True,,2026-01-14 08:05:00+00:00
63,230,1170,2026-05-16 21:13:00+00:00,535.75,32.91,0.0,568.66,pix,confirmado,False,,2026-05-16 21:13:00+00:00
64,233,284,2026-04-03 08:09:00+00:00,180.24,9.81,0.0,190.05,cartao_credito,enviado,False,,2026-04-03 08:09:00+00:00
65,237,635,2026-01-22 08:23:00+00:00,793.74,0.0,0.0,793.74,cartao_credito,entregue,False,,2026-01-22 08:23:00+00:00
66,238,815,2026-03-17 20:13:00+00:00,139.45,25.81,0.0,165.26,cartao_credito,entregue,False,,2026-03-17 20:13:00+00:00
67,242,1021,2026-06-13 13:34:00+00:00,447.82,41.67,0.0,489.49,cartao_credito,entregue,False,,2026-06-13 13:34:00+00:00
68,248,188,2026-03-02 17:23:00+00:00,427.45,22.38,0.0,449.83,pix,cancelado,False,,2026-03-02 17:23:00+00:00
69,251,721,2026-02-15 11:36:00+00:00,31.7,41.6,0.0,73.3,boleto,entregue,False,,2026-02-15 11:36:00+00:00
70,257,986,2026-05-22 18:01:00+00:00,559.29,12.68,0.0,571.97,boleto,entregue,False,,2026-05-22 18:01:00+00:00
71,259,1469,2026-01-21 21:00:00+00:00,19.34,43.2,1.59,60.95,boleto,entregue,True,,2026-01-21 21:00:00+00:00
72,260,83,2026-06-09 15:51:00+00:00,103.64,30.68,0.0,134.32,boleto,entregue,False,,2026-06-09 15:51:00+00:00
73,267,75,2026-05-14 20:01:00+00:00,27.97,13.5,2.36,39.11,cartao_debito,entregue,True,,2026-05-14 20:01:00+00:00
74,271,664,2026-04-05 22:49:00+00:00,601.43,20.59,0.0,622.02,cartao_credito,entregue,False,,2026-04-05 22:49:00+00:00
75,274,1486,2026-02-25 09:57:00+00:00,22.08,44.29,1.98,64.39,pix,confirmado,True,,2026-02-25 09:57:00+00:00
76,275,721,2026-06-23 10:51:00+00:00,296.13,9.57,0.0,305.7,cartao_credito,entregue,False,,2026-06-23 10:51:00+00:00
77,277,604,2026-04-22 16:51:00+00:00,149.29,5.16,18.35,136.1,cartao_credito,enviado,True,,2026-04-22 16:51:00+00:00
78,278,894,2026-04-22 08:45:00+00:00,255.09,39.82,26.71,268.2,cartao_credito,entregue,True,,2026-04-22 08:45:00+00:00
79,279,33,2026-06-17 18:31:00+00:00,21.84,36.65,0.0,58.49,pix,entregue,False,,2026-06-17 18:31:00+00:00
80,280,455,2026-04-11 16:04:00+00:00,294.5,0.0,29.53,264.97,pix,enviado,True,,2026-04-11 16:04:00+00:00
81,282,267,2026-02-06 16:09:00+00:00,1210.22,7.28,144.44,1073.06,cartao_credito,entregue,True,,2026-02-06 16:09:00+00:00
82,283,558,2026-01-02 22:46:00+00:00,1015.29,29.39,0.0,1044.68,pix,enviado,False,,2026-01-02 22:46:00+00:00
83,287,713,2026-05-08 21:39:00+00:00,106.97,14.23,0.0,121.2,pix,entregue,False,,2026-05-08 21:39:00+00:00
84,290,294,2026-06-04 22:44:00+00:00,779.82,35.46,0.0,815.28,pix,entregue,False,,2026-06-04 22:44:00+00:00
85,291,674,2026-03-09 15:00:00+00:00,173.13,13.62,25.13,161.62,cartao_credito,entregue,True,,2026-03-09 15:00:00+00:00
86,295,1173,2026-06-25 10:34:00+00:00,134.15,38.08,0.0,172.23,pix,enviado,False,,2026-06-25 10:34:00+00:00
87,297,334,2026-05-22 23:08:00+00:00,150.95,20.12,0.0,171.07,pix,entregue,False,,2026-05-22 23:08:00+00:00
88,299,997,2026-03-17 18:25:00+00:00,334.55,21.71,0.0,356.26,pix,entregue,False,,2026-03-17 18:25:00+00:00
89,301,566,2026-03-12 23:54:00+00:00,135.87,38.69,0.0,174.56,cartao_credito,entregue,True,271,2026-03-12 23:54:00+00:00
90,303,956,2026-02-27 12:37:00+00:00,758.81,29.58,0.0,788.39,cartao_credito,cancelado,False,,2026-02-27 12:37:00+00:00
91,304,827,2026-05-02 11:13:00+00:00,218.13,41.93,0.0,260.06,boleto,entregue,False,,2026-05-02 11:13:00+00:00
92,305,65,2026-05-17 21:16:00+00:00,157.16,40.79,0.0,197.95,pix,entregue,False,,2026-05-17 21:16:00+00:00
93,308,1347,2026-04-27 19:21:00+00:00,110.94,0.0,0.0,110.94,boleto,entregue,True,278,2026-04-27 19:21:00+00:00
94,310,800,2026-05-28 15:05:00+00:00,121.46,26.49,0.0,147.95,cartao_credito,enviado,False,,2026-05-28 15:05:00+00:00
95,312,586,2026-06-12 13:14:00+00:00,134.72,25.3,0.0,160.02,pix,cancelado,False,,2026-06-12 13:14:00+00:00
96,313,366,2026-03-23 17:03:00+00:00,329.67,37.65,0.0,367.32,pix,enviado,False,,2026-03-23 17:03:00+00:00
97,314,788,2026-06-26 11:43:00+00:00,114.05,28.47,0.0,142.52,cartao_credito,cancelado,False,,2026-06-26 11:43:00+00:00
98,316,1102,2026-05-16 12:04:00+00:00,540.57,28.45,0.0,569.02,pix,entregue,False,,2026-05-16 12:04:00+00:00
99,317,904,2026-01-28 15:25:00+00:00,271.89,32.3,0.0,304.19,pix,entregue,False,,2026-01-28 15:25:00+00:00
100,319,514,2026-04-20 13:56:00+00:00,145.64,35.97,0.0,181.61,cartao_credito,enviado,False,,2026-04-20 13:56:00+00:00
101,320,912,2026-06-22 00:05:00+00:00,51.99,15.67,0.0,67.66,cartao_credito,entregue,False,,2026-06-22 00:05:00+00:00
102,325,117,2026-06-06 23:19:00+00:00,220.78,14.3,0.0,235.08,boleto,entregue,False,,2026-06-06 23:19:00+00:00
103,330,231,2026-05-25 15:02:00+00:00,176.25,29.39,0.0,205.64,cartao_debito,entregue,False,,2026-05-25 15:02:00+00:00
104,341,1422,2026-03-10 15:33:00+00:00,257.01,24.17,0.0,281.18,cartao_debito,entregue,False,,2026-03-10 15:33:00+00:00
105,343,912,2026-05-26 00:20:00+00:00,84.15,9.65,0.0,93.8,cartao_credito,entregue,False,,2026-05-26 00:20:00+00:00
106,345,638,2026-03-11 13:27:00+00:00,463.29,38.67,0.0,501.96,cartao_credito,confirmado,False,,2026-03-11 13:27:00+00:00
107,352,304,2026-01-07 16:28:00+00:00,333.99,26.93,29.34,331.58,cartao_credito,entregue,True,,2026-01-07 16:28:00+00:00
108,357,699,2026-06-09 07:34:00+00:00,377.82,20.34,0.0,398.16,pix,enviado,False,,2026-06-09 07:34:00+00:00
109,362,710,2026-01-20 16:36:00+00:00,370.56,31.14,0.0,401.7,cartao_debito,enviado,False,,2026-01-20 16:36:00+00:00
110,364,590,2026-05-21 14:20:00+00:00,193.3,19.74,0.0,213.04,pix,entregue,False,,2026-05-21 14:20:00+00:00
111,365,567,2026-03-25 09:31:00+00:00,467.01,19.79,0.0,486.8,cartao_credito,enviado,False,,2026-03-25 09:31:00+00:00
112,368,1100,2026-03-26 22:23:00+00:00,461.14,20.38,0.0,481.52,cartao_credito,enviado,False,,2026-03-26 22:23:00+00:00
113,370,1052,2026-03-13 19:44:00+00:00,302.9,28.45,0.0,331.35,pix,entregue,False,,2026-03-13 19:44:00+00:00
114,378,957,2026-05-14 08:43:00+00:00,180.26,27.3,0.0,207.56,pix,entregue,False,,2026-05-14 08:43:00+00:00
115,379,674,2026-04-17 16:36:00+00:00,80.29,7.0,0.0,87.29,cartao_credito,enviado,False,,2026-04-17 16:36:00+00:00
116,380,728,2026-06-12 12:13:00+00:00,136.33,27.31,0.0,163.64,cartao_credito,enviado,False,,2026-06-12 12:13:00+00:00
117,385,627,2026-06-01 09:31:00+00:00,1037.98,19.61,98.63,958.96,cartao_credito,cancelado,True,,2026-06-01 09:31:00+00:00
118,386,54,2026-01-01 09:49:00+00:00,971.37,12.1,82.12,901.35,cartao_credito,confirmado,True,,2026-01-01 09:49:00+00:00
119,387,5,2026-03-11 11:36:00+00:00,608.47,20.47,0.0,628.94,pix,confirmado,False,,2026-03-11 11:36:00+00:00
120,388,231,2026-04-08 00:03:00+00:00,609.07,35.26,0.0,644.33,pix,enviado,False,,2026-04-08 00:03:00+00:00
121,389,28,2026-02-23 23:02:00+00:00,455.33,34.29,0.0,489.62,cartao_credito,confirmado,False,,2026-02-23 23:02:00+00:00
122,391,1296,2026-05-22 00:22:00+00:00,22.04,22.0,0.0,44.04,pix,entregue,False,,2026-05-22 00:22:00+00:00
123,392,1223,2026-01-08 23:29:00+00:00,256.14,0.0,0.0,256.14,pix,entregue,False,,2026-01-08 23:29:00+00:00
124,393,1445,2026-01-20 22:20:00+00:00,86.74,11.55,0.0,98.29,cartao_credito,entregue,False,,2026-01-20 22:20:00+00:00
125,394,1489,2026-06-17 07:52:00+00:00,766.14,44.69,0.0,810.83,boleto,confirmado,False,,2026-06-17 07:52:00+00:00
126,406,147,2026-05-25 10:17:00+00:00,701.29,24.15,0.0,725.44,pix,enviado,False,,2026-05-25 10:17:00+00:00
127,410,959,2026-04-25 23:57:00+00:00,213.97,16.69,0.0,230.66,cartao_credito,entregue,False,,2026-04-25 23:57:00+00:00
128,415,1220,2026-03-24 16:29:00+00:00,78.98,16.64,0.0,95.62,cartao_credito,entregue,False,,2026-03-24 16:29:00+00:00
129,423,841,2026-04-08 17:59:00+00:00,176.89,27.41,0.0,204.3,boleto,entregue,False,,2026-04-08 17:59:00+00:00
130,424,362,2026-06-18 23:17:00+00:00,215.39,20.22,31.36,204.25,cartao_credito,entregue,True,,2026-06-18 23:17:00+00:00
131,426,582,2026-02-09 07:59:00+00:00,190.19,31.75,0.0,221.94,boleto,entregue,False,,2026-02-09 07:59:00+00:00
132,428,922,2026-05-15 14:57:00+00:00,227.32,17.14,0.0,244.46,cartao_credito,cancelado,False,,2026-05-15 14:57:00+00:00
133,432,1327,2026-03-10 20:19:00+00:00,109.54,15.61,13.06,112.09,cartao_credito,entregue,True,,2026-03-10 20:19:00+00:00
134,434,252,2026-03-21 09:26:00+00:00,86.61,24.62,0.0,111.23,cartao_credito,entregue,False,,2026-03-21 09:26:00+00:00
135,435,629,2026-04-26 19:08:00+00:00,350.76,13.99,0.0,364.75,cartao_credito,enviado,False,,2026-04-26 19:08:00+00:00
136,445,1453,2026-06-24 19:15:00+00:00,191.04,34.22,21.66,203.6,pix,entregue,True,,2026-06-24 19:15:00+00:00
137,446,615,2026-01-17 18:20:00+00:00,169.62,12.89,0.0,182.51,cartao_credito,entregue,False,,2026-01-17 18:20:00+00:00
138,453,1415,2026-01-20 11:12:00+00:00,101.74,24.54,0.0,126.28,pix,entregue,False,,2026-01-20 11:12:00+00:00
139,455,792,2026-02-20 17:32:00+00:00,117.39,37.49,0.0,154.88,cartao_credito,entregue,False,,2026-02-20 17:32:00+00:00
140,457,590,2026-02-06 14:26:00+00:00,32.46,7.48,0.0,39.94,boleto,entregue,False,,2026-02-06 14:26:00+00:00
141,462,1411,2026-05-19 14:38:00+00:00,591.02,8.4,0.0,599.42,cartao_credito,confirmado,False,,2026-05-19 14:38:00+00:00
142,468,1469,2026-02-20 17:28:00+00:00,440.96,19.03,46.07,413.92,pix,confirmado,True,,2026-02-20 17:28:00+00:00
143,469,1316,2026-03-04 22:49:00+00:00,698.68,36.75,0.0,735.43,pix,enviado,False,,2026-03-04 22:49:00+00:00
144,470,885,2026-04-16 15:36:00+00:00,773.38,0.0,0.0,773.38,pix,entregue,True,403,2026-04-16 15:36:00+00:00
145,475,1254,2026-03-04 14:47:00+00:00,0.0,12.74,0.0,12.74,boleto,entregue,False,,2026-03-04 14:47:00+00:00
146,477,902,2026-03-18 09:24:00+00:00,127.3,13.68,8.75,132.23,pix,entregue,True,,2026-03-18 09:24:00+00:00
147,484,521,2026-03-03 11:55:00+00:00,338.91,41.34,0.0,380.25,cartao_debito,cancelado,False,,2026-03-03 11:55:00+00:00
148,487,1241,2026-03-17 10:58:00+00:00,458.25,42.88,0.0,501.13,cartao_debito,enviado,False,,2026-03-17 10:58:00+00:00
149,489,722,2026-02-04 14:49:00+00:00,710.8,30.35,0.0,741.15,boleto,enviado,False,,2026-02-04 14:49:00+00:00
150,490,88,2026-02-15 08:49:00+00:00,283.96,18.13,0.0,302.09,boleto,entregue,True,417,2026-02-15 08:49:00+00:00
151,492,901,2026-04-23 14:51:00+00:00,199.25,17.19,0.0,216.44,boleto,entregue,False,,2026-04-23 14:51:00+00:00
152,494,870,2026-01-18 17:00:00+00:00,649.97,26.59,0.0,676.56,cartao_credito,entregue,False,,2026-01-18 17:00:00+00:00
153,495,1342,2026-02-02 16:28:00+00:00,217.8,29.36,0.0,247.16,pix,entregue,False,,2026-02-02 16:28:00+00:00
154,502,498,2026-05-15 09:02:00+00:00,782.74,19.68,0.0,802.42,cartao_debito,entregue,False,,2026-05-15 09:02:00+00:00
155,504,1166,2026-04-21 18:48:00+00:00,316.98,21.75,0.0,338.73,cartao_credito,enviado,False,,2026-04-21 18:48:00+00:00
156,508,1450,2026-01-06 19:16:00+00:00,446.93,10.61,34.75,422.79,pix,enviado,True,,2026-01-06 19:16:00+00:00
157,514,208,2026-03-12 16:48:00+00:00,296.21,5.44,0.0,301.65,cartao_credito,enviado,False,,2026-03-12 16:48:00+00:00
158,519,564,2026-01-07 13:11:00+00:00,83.25,38.54,0.0,121.79,cartao_debito,enviado,False,,2026-01-07 13:11:00+00:00
159,522,1009,2026-02-24 04:44:00+00:00,197.45,0.0,0.0,197.45,cartao_debito,confirmado,True,449,2026-02-24 04:44:00+00:00
160,527,1426,2026-01-25 17:00:00+00:00,103.85,28.66,0.0,132.51,pix,enviado,False,,2026-01-25 17:00:00+00:00
161,528,221,2026-05-13 14:52:00+00:00,215.26,11.56,0.0,226.82,pix,enviado,False,,2026-05-13 14:52:00+00:00
162,531,744,2026-01-17 09:41:00+00:00,253.69,31.86,0.0,285.55,cartao_credito,entregue,False,,2026-01-17 09:41:00+00:00
163,534,158,2026-06-14 21:40:00+00:00,434.19,41.52,49.25,426.46,pix,entregue,True,,2026-06-14 21:40:00+00:00
164,537,785,2026-05-20 11:26:00+00:00,216.52,32.06,20.27,228.31,cartao_credito,entregue,True,,2026-05-20 11:26:00+00:00
165,538,793,2026-06-10 06:27:00+00:00,63.6,37.27,0.0,100.87,cartao_credito,entregue,False,,2026-06-10 06:27:00+00:00
166,539,492,2026-05-08 22:44:00+00:00,85.36,17.55,0.0,102.91,cartao_debito,entregue,False,,2026-05-08 22:44:00+00:00
167,541,320,2026-05-07 22:28:00+00:00,546.5,19.41,0.0,565.91,cartao_credito,cancelado,False,,2026-05-07 22:28:00+00:00
168,543,1411,2026-03-06 17:15:00+00:00,305.88,37.74,38.95,304.67,pix,entregue,True,,2026-03-06 17:15:00+00:00
169,544,987,2026-04-26 20:14:00+00:00,136.66,6.99,0.0,143.65,pix,entregue,False,,2026-04-26 20:14:00+00:00
170,545,705,2026-02-26 20:33:00+00:00,513.73,16.83,72.88,457.68,pix,confirmado,True,,2026-02-26 20:33:00+00:00
171,546,666,2026-04-20 08:30:00+00:00,122.54,19.39,6.99,134.94,pix,entregue,True,,2026-04-20 08:30:00+00:00
172,547,1050,2026-03-02 17:06:00+00:00,259.46,26.84,0.0,286.3,pix,entregue,False,,2026-03-02 17:06:00+00:00
173,550,163,2026-04-24 11:31:00+00:00,898.94,6.81,83.21,822.54,cartao_credito,entregue,True,,2026-04-24 11:31:00+00:00
174,551,1429,2026-05-22 23:00:00+00:00,204.08,31.14,0.0,235.22,cartao_credito,entregue,False,,2026-05-22 23:00:00+00:00
175,559,393,2026-04-11 22:39:00+00:00,232.48,28.48,17.12,243.84,pix,confirmado,True,,2026-04-11 22:39:00+00:00
176,560,1264,2026-05-17 21:16:00+00:00,505.84,14.8,0.0,520.64,cartao_credito,entregue,False,,2026-05-17 21:16:00+00:00
177,562,12,2026-05-21 14:56:00+00:00,369.87,8.49,50.92,327.44,pix,entregue,True,,2026-05-21 14:56:00+00:00
178,573,90,2026-02-18 09:24:00+00:00,965.03,13.52,0.0,978.55,cartao_debito,entregue,False,,2026-02-18 09:24:00+00:00
179,576,370,2026-03-15 11:15:00+00:00,251.64,43.72,0.0,295.36,cartao_credito,entregue,False,,2026-03-15 11:15:00+00:00
180,579,758,2026-02-10 09:12:00+00:00,115.26,19.27,0.0,134.53,boleto,entregue,False,,2026-02-10 09:12:00+00:00
181,580,365,2026-06-29 00:05:00+00:00,444.74,0.0,36.16,408.58,pix,confirmado,True,,2026-06-29 00:05:00+00:00
182,584,784,2026-01-02 09:42:00+00:00,218.61,44.79,0.0,263.4,cartao_credito,confirmado,False,,2026-01-02 09:42:00+00:00
183,585,647,2026-05-13 10:33:00+00:00,168.06,28.67,0.0,196.73,pix,entregue,False,,2026-05-13 10:33:00+00:00
184,586,375,2026-05-28 07:34:00+00:00,219.95,34.41,0.0,254.36,cartao_credito,entregue,False,,2026-05-28 07:34:00+00:00
185,587,916,2026-02-04 18:25:00+00:00,645.49,25.37,0.0,670.86,pix,entregue,False,,2026-02-04 18:25:00+00:00
186,591,268,2026-04-20 12:30:00+00:00,593.25,36.56,72.85,556.96,pix,entregue,True,,2026-04-20 12:30:00+00:00
187,604,1388,2026-02-04 16:06:00+00:00,262.96,44.65,0.0,307.61,pix,entregue,False,,2026-02-04 16:06:00+00:00
188,606,805,2026-02-24 17:41:00+00:00,513.75,20.3,0.0,534.05,pix,confirmado,False,,2026-02-24 17:41:00+00:00
189,607,1330,2026-03-26 17:17:00+00:00,377.58,15.74,0.0,393.32,boleto,entregue,False,,2026-03-26 17:17:00+00:00
190,610,295,2026-01-10 00:22:00+00:00,133.16,35.03,0.0,168.19,pix,entregue,False,,2026-01-10 00:22:00+00:00
191,614,669,2026-01-25 18:50:00+00:00,403.26,34.34,0.0,437.6,cartao_credito,enviado,False,,2026-01-25 18:50:00+00:00
192,617,978,2026-05-12 11:30:00+00:00,505.73,21.99,0.0,527.72,cartao_credito,entregue,False,,2026-05-12 11:30:00+00:00
193,620,421,2026-04-27 11:33:00+00:00,98.98,44.89,0.0,143.87,boleto,cancelado,False,,2026-04-27 11:33:00+00:00
194,621,844,2026-01-14 13:25:00+00:00,685.94,43.88,0.0,729.82,cartao_credito,confirmado,False,,2026-01-14 13:25:00+00:00
195,623,806,2026-03-10 23:31:00+00:00,458.63,39.99,0.0,498.62,boleto,enviado,False,,2026-03-10 23:31:00+00:00
196,627,1340,2026-05-22 14:32:00+00:00,239.84,21.43,0.0,261.27,cartao_debito,entregue,False,,2026-05-22 14:32:00+00:00
197,629,430,2026-04-05 19:48:00+00:00,465.0,19.83,0.0,484.83,pix,entregue,False,,2026-04-05 19:48:00+00:00
198,630,136,2026-01-19 18:58:00+00:00,661.95,5.32,0.0,667.27,boleto,enviado,False,,2026-01-19 18:58:00+00:00
199,631,1434,2026-03-27 21:08:00+00:00,349.43,27.3,0.0,376.73,boleto,entregue,False,,2026-03-27 21:08:00+00:00
200,641,732,2026-01-22 16:18:00+00:00,127.2,12.78,0.0,139.98,boleto,entregue,False,,2026-01-22 16:18:00+00:00
201,642,1239,2026-04-26 12:11:00+00:00,343.58,24.75,0.0,368.33,cartao_credito,entregue,False,,2026-04-26 12:11:00+00:00
