item_id,carrinho_id,produto_id,quantidade,preco_unitario,preco_total,data_adicao,data_remocao
46,20,201,1,291.63,291.63,2026-04-12 16:42:00+00:00,
47,20,72,1,3157.05,3157.05,2026-04-12 16:56:00+00:00,
48,20,224,2,28.15,56.3,2026-04-12 16:43:00+00:00,
49,21,210,2,302.19,604.38,2026-02-09 10:18:00+00:00,
50,22,251,1,44.25,44.25,2026-05-19 12:55:00+00:00,
51,23,227,1,188.38,188.38,2026-01-16 08:43:00+00:00,
52,23,59,1,4040.6,4040.6,2026-01-16 08:58:00+00:00,
53,24,157,1,2556.13,2556.13,2026-06-07 20:24:00+00:00,
54,24,280,1,298.34,298.34,2026-06-07 20:29:00+00:00,
55,25,7,1,4433.9,4433.9,2026-03-02 14:34:00+00:00,
56,26,205,1,266.28,266.28,2026-06-17 06:35:00+00:00,
57,26,148,1,322.13,322.13,2026-06-17 06:35:00+00:00,
58,26,219,1,142.11,142.11,2026-06-17 06:45:00+00:00,
59,27,174,1,535.9,535.9,2026-02-22 11:16:00+00:00,
60,27,290,1,79.6,79.6,2026-02-22 11:17:00+00:00,
61,27,91,1,259.97,259.97,2026-02-22 11:17:00+00:00,
62,27,147,2,455.96,911.92,2026-02-22 11:16:00+00:00,
63,28,88,1,177.77,177.77,2026-02-15 23:54:00+00:00,
64,28,102,2,42.57,85.14,2026-02-15 23:53:00+00:00,
65,28,200,3,200.16,600.48,2026-02-15 23:51:00+00:00,
66,29,251,3,42.62,127.86,2026-03-04 23:08:00+00:00,
67,29,243,1,105.21,105.21,2026-03-04 23:10:00+00:00,
68,29,147,1,455.96,455.96,2026-03-04 23:24:00+00:00,
69,30,36,1,3163.17,3163.17,2026-02-18 17:07:00+00:00,
70,30,168,2,2109.26,4218.52,2026-02-18 17:18:00+00:00,2026-02-18 17:37:00+00:00
71,30,161,2,777.31,1554.62,2026-02-18 17:10:00+00:00,2026-02-18 17:25:00+00:00
72,31,139,1,1924.23,1924.23,2026-01-04 19:06:00+00:00,
73,32,200,1,200.16,200.16,2026-06-21 08:57:00+00:00,
74,32,10,2,1019.11,2038.22,2026-06-21 08:59:00+00:00,
75,33,104,1,140.04,140.04,2026-06-04 18:44:00+00:00,2026-06-04 18:46:00+00:00
76,34,64,3,1858.42,5575.26,2026-03-23 13:01:00+00:00,
77,34,3,2,1343.14,2686.28,2026-03-23 13:08:00+00:00,
78,34,42,1,1902.54,1902.54,2026-03-23 13:12:00+00:00,
79,35,176,1,625.26,625.26,2026-02-10 12:48:00+00:00,
80,35,280,1,298.34,298.34,2026-02-10 12:48:00+00:00,
81,35,193,1,357.88,357.88,2026-02-10 12:50:00+00:00,
82,36,199,2,459.85,919.7,2026-05-06 22:02:00+00:00,
83,36,164,1,1051.28,1051.28,2026-05-06 22:01:00+00:00,
84,36,179,1,287.06,287.06,2026-05-06 22:03:00+00:00,
85,37,242,2,28.43,56.86,2026-05-06 20:43:00+00:00,
86,37,213,1,44.58,44.58,2026-05-06 20:57:00+00:00,
87,37,6,2,77.23,154.46,2026-05-06 20:45:00+00:00,
88,38,299,2,258.48,516.96,2026-06-02 06:57:00+00:00,
89,38,171,1,178.16,178.16,2026-06-02 07:12:00+00:00,
90,38,16,1,132.01,132.01,2026-06-02 07:11:00+00:00,
91,39,34,1,2318.25,2318.25,2026-06-05 23:51:00+00:00,2026-06-06 00:37:00+00:00
92,39,163,1,404.4,404.4,2026-06-06 00:25:00+00:00,
93,40,10,1,1025.15,1025.15,2026-03-09 19:24:00+00:00,2026-03-09 19:45:00+00:00
94,41,253,1,99.09,99.09,2026-05-21 11:35:00+00:00,
95,42,189,1,70.28,70.28,2026-02-13 10:13:00+00:00,
96,42,298,1,65.02,65.02,2026-02-13 10:29:00+00:00,2026-02-13 10:42:00+00:00
97,42,168,3,2109.26,6327.78,2026-02-13 10:38:00+00:00,
98,43,289,2,283.57,567.14,2026-03-25 13:59:00+00:00,
99,43,105,1,374.92,374.92,2026-03-25 14:09:00+00:00,
100,43,49,1,1895.34,1895.34,2026-03-25 13:59:00+00:00,
101,44,173,1,2070.54,2070.54,2026-04-10 18:09:00+00:00,
102,44,46,1,182.75,182.75,2026-04-10 18:06:00+00:00,2026-04-10 18:50:00+00:00
103,44,97,2,571.54,1143.08,2026-04-10 18:03:00+00:00,
104,45,83,2,288.27,576.54,2026-06-22 18:58:00+00:00,
105,45,115,1,157.02,157.02,2026-06-22 19:00:00+00:00,
106,45,164,1,1014.63,1014.63,2026-06-22 18:58:00+00:00,
107,45,84,1,396.98,396.98,2026-06-22 19:03:00+00:00,
108,46,265,2,25.25,50.5,2026-06-08 16:18:00+00:00,
109,46,122,1,605.76,605.76,2026-06-08 16:12:00+00:00,
110,46,271,2,481.81,963.62,2026-06-08 16:30:00+00:00,
111,46,255,1,171.53,171.53,2026-06-08 16:18:00+00:00,
112,47,259,1,68.49,68.49,2026-01-11 22:30:00+00:00,
113,48,180,1,81.43,81.43,2026-01-03 22:58:00+00:00,
114,48,81,1,123.58,123.58,2026-01-03 23:07:00+00:00,
115,48,84,1,396.98,396.98,2026-01-03 23:11:00+00:00,
116,49,74,1,374.16,374.16,2026-01-24 13:03:00+00:00,
117,49,17,1,1107.91,1107.91,2026-01-24 13:08:00+00:00,
118,50,52,1,165.45,165.45,2026-01-15 11:12:00+00:00,
119,50,183,1,482.42,482.42,2026-01-15 11:14:00+00:00,2026-01-15 11:15:00+00:00
120,50,53,1,3787.83,3787.83,2026-01-15 11:25:00+00:00,
121,50,272,1,123.52,123.52,2026-01-15 11:31:00+00:00,
122,51,217,1,254.12,254.12,2026-01-18 07:04:00+00:00,
123,52,118,1,184.88,184.88,2026-01-27 09:58:00+00:00,
124,52,130,2,286.39,572.78,2026-01-27 09:57:00+00:00,
125,52,174,1,535.9,535.9,2026-01-27 10:26:00+00:00,
126,53,191,1,517.94,517.94,2026-04-13 09:27:00+00:00,
127,53,214,1,376.15,376.15,2026-04-13 09:28:00+00:00,
128,53,31,1,515.98,515.98,2026-04-13 09:33:00+00:00,
129,54,99,1,49.13,49.13,2026-05-20 19:00:00+00:00,
130,54,215,1,134.53,134.53,2026-05-20 19:10:00+00:00,
131,55,274,1,355.09,355.09,2026-06-14 11:18:00+00:00,
132,56,88,1,182.7,182.7,2026-02-28 12:32:00+00:00,
133,56,185,1,315.73,315.73,2026-02-28 12:21:00+00:00,
134,56,240,1,145.2,145.2,2026-02-28 12:29:00+00:00,
135,57,113,1,295.22,295.22,2026-01-28 07:14:00+00:00,
136,57,232,1,47.39,47.39,2026-01-28 07:43:00+00:00,
137,58,201,1,291.63,291.63,2026-02-21 14:46:00+00:00,2026-02-21 14:47:00+00:00
138,58,132,1,255.34,255.34,2026-02-21 14:48:00+00:00,2026-02-21 14:49:00+00:00
139,59,220,3,235.64,706.92,2026-01-15 18:52:00+00:00,
140,59,227,1,188.38,188.38,2026-01-15 19:12:00+00:00,
141,59,54,1,4441.84,4441.84,2026-01-15 19:21:00+00:00,
142,59,78,1,591.26,591.26,2026-01-15 19:41:00+00:00,
143,59,246,1,30.13,30.13,2026-01-15 19:35:00+00:00,
144,60,288,1,54.53,54.53,2026-03-25 13:32:00+00:00,
145,60,96,1,69.47,69.47,2026-03-25 13:32:00+00:00,2026-03-25 13:53:00+00:00
146,60,40,1,334.82,334.82,2026-03-25 13:42:00+00:00,
147,60,203,1,788.27,788.27,2026-03-25 13:41:00+00:00,2026-03-25 13:45:00+00:00
148,60,147,1,455.96,455.96,2026-03-25 13:51:00+00:00,
149,60,192,1,463.2,463.2,2026-03-25 13:31:00+00:00,
150,61,25,1,4392.9,4392.9,2026-03-25 07:20:00+00:00,
151,61,225,1,240.62,240.62,2026-03-25 07:26:00+00:00,
152,62,53,1,3787.83,3787.83,2026-03-10 08:35:00+00:00,
153,62,239,1,67.18,67.18,2026-03-10 08:28:00+00:00,
154,63,10,2,996.01,1992.02,2026-05-17 20:52:00+00:00,
155,63,43,1,3012.33,3012.33,2026-05-17 21:08:00+00:00,
156,64,184,2,631.42,1262.84,2026-06-07 12:58:00+00:00,
157,65,251,1,44.25,44.25,2026-03-19 18:13:00+00:00,2026-03-19 18:28:00+00:00
158,65,243,1,105.21,105.21,2026-03-19 18:12:00+00:00,2026-03-19 18:22:00+00:00
159,66,135,1,257.36,257.36,2026-03-04 19:27:00+00:00,
160,67,136,1,716.08,716.08,2026-05-21 07:02:00+00:00,
161,67,24,1,833.06,833.06,2026-05-21 07:05:00+00:00,
162,67,265,1,25.25,25.25,2026-05-21 07:07:00+00:00,2026-05-21 07:09:00+00:00
163,67,15,2,2024.08,4048.16,2026-05-21 07:05:00+00:00,
164,68,142,1,2390.52,2390.52,2026-01-01 22:32:00+00:00,
165,68,259,1,68.49,68.49,2026-01-01 22:35:00+00:00,
166,68,174,1,529.35,529.35,2026-01-01 22:33:00+00:00,
167,68,168,1,2109.26,2109.26,2026-01-01 22:37:00+00:00,
168,68,23,2,4423.2,8846.4,2026-01-01 22:45:00+00:00,2026-01-01 22:46:00+00:00
169,69,263,1,125.28,125.28,2026-05-05 16:38:00+00:00,
170,69,286,1,281.26,281.26,2026-05-05 16:29:00+00:00,2026-05-05 16:55:00+00:00
171,70,66,3,1001.15,3003.45,2026-06-14 10:36:00+00:00,2026-06-14 10:37:00+00:00
172,71,268,2,54.46,108.92,2026-05-09 07:33:00+00:00,
173,71,256,1,28.09,28.09,2026-05-09 08:14:00+00:00,
174,72,2,1,2289.66,2289.66,2026-06-08 17:06:00+00:00,
175,73,48,2,4751.41,9502.82,2026-04-06 19:59:00+00:00,
176,73,10,1,996.01,996.01,2026-04-06 20:05:00+00:00,
177,74,212,1,256.26,256.26,2026-03-05 19:54:00+00:00,
178,74,221,2,214.12,428.24,2026-03-05 20:01:00+00:00,
179,75,169,1,2178.37,2178.37,2026-05-22 12:06:00+00:00,
180,75,220,1,235.64,235.64,2026-05-22 12:15:00+00:00,
181,75,254,1,32.11,32.11,2026-05-22 12:30:00+00:00,
182,76,226,1,133.15,133.15,2026-04-02 19:50:00+00:00,
183,76,157,1,2642.54,2642.54,2026-04-02 19:49:00+00:00,2026-04-02 19:50:00+00:00
184,78,2,1,2289.66,2289.66,2026-02-13 18:22:00+00:00,
185,79,284,2,110.01,220.02,2026-05-18 22:09:00+00:00,
186,79,271,1,481.81,481.81,2026-05-18 22:11:00+00:00,
187,80,10,1,996.01,996.01,2026-06-23 23:54:00+00:00,
188,80,178,1,121.96,121.96,2026-06-24 00:38:00+00:00,
189,80,84,1,396.98,396.98,2026-06-24 00:25:00+00:00,
190,81,103,1,56.26,56.26,2026-02-18 16:42:00+00:00,
191,82,144,2,2706.0,5412.0,2026-04-19 19:17:00+00:00,
192,83,199,1,459.85,459.85,2026-01-01 16:51:00+00:00,
193,83,221,1,214.12,214.12,2026-01-01 16:51:00+00:00,
194,83,232,1,47.39,47.39,2026-01-01 17:12:00+00:00,2026-01-01 17:13:00+00:00
195,83,129,1,400.57,400.57,2026-01-01 17:07:00+00:00,
196,84,247,1,60.12,60.12,2026-03-22 19:33:00+00:00,
197,84,198,2,778.2,1556.4,2026-03-22 19:41:00+00:00,2026-03-22 19:57:00+00:00
198,84,57,2,1165.94,2331.88,2026-03-22 19:59:00+00:00,
199,85,248,1,25.45,25.45,2026-05-21 22:52:00+00:00,
200,85,60,1,3275.34,3275.34,2026-05-21 22:53:00+00:00,
201,85,34,1,2318.25,2318.25,2026-05-21 22:54:00+00:00,
202,86,72,1,3157.05,3157.05,2026-02-21 08:44:00+00:00,
203,86,294,2,150.37,300.74,2026-02-21 08:42:00+00:00,
204,86,205,1,266.97,266.97,2026-02-21 09:08:00+00:00,2026-02-21 09:21:00+00:00
205,87,17,2,1084.8,2169.6,2026-05-28 10:35:00+00:00,2026-05-28 10:46:00+00:00
206,87,279,2,423.01,846.02,2026-05-28 10:41:00+00:00,
207,87,215,2,134.53,269.06,2026-05-28 10:42:00+00:00,2026-05-28 10:45:00+00:00
208,88,144,2,2838.74,5677.48,2026-01-21 17:52:00+00:00,
209,89,255,1,171.53,171.53,2026-03-17 14:12:00+00:00,2026-03-17 14:14:00+00:00
210,90,226,1,128.31,128.31,2026-06-19 06:56:00+00:00,
211,90,67,1,2060.43,2060.43,2026-06-19 06:56:00+00:00,
212,90,298,1,64.11,64.11,2026-06-19 06:57:00+00:00,2026-06-19 06:59:00+00:00
213,90,140,1,357.89,357.89,2026-06-19 06:57:00+00:00,
214,90,291,1,327.37,327.37,2026-06-19 06:56:00+00:00,2026-06-19 06:57:00+00:00
215,91,198,3,775.63,2326.89,2026-01-10 10:05:00+00:00,
216,92,80,3,246.49,739.47,2026-04-17 10:29:00+00:00,2026-04-17 10:33:00+00:00
217,92,129,1,400.57,400.57,2026-04-17 10:29:00+00:00,2026-04-17 10:31:00+00:00
218,92,45,1,264.73,264.73,2026-04-17 10:39:00+00:00,2026-04-17 10:40:00+00:00
219,93,267,2,135.82,271.64,2026-06-10 12:05:00+00:00,
220,94,195,1,154.42,154.42,2026-01-14 14:15:00+00:00,
221,94,8,2,641.89,1283.78,2026-01-14 14:15:00+00:00,
222,94,175,1,90.61,90.61,2026-01-14 14:16:00+00:00,
223,95,178,1,121.96,121.96,2026-02-26 18:39:00+00:00,
224,95,6,1,77.23,77.23,2026-02-26 18:45:00+00:00,2026-02-26 18:50:00+00:00
225,96,244,2,53.09,106.18,2026-04-06 19:48:00+00:00,
226,96,116,1,469.36,469.36,2026-04-06 19:31:00+00:00,
227,97,105,1,374.92,374.92,2026-04-02 10:19:00+00:00,
228,97,81,1,123.58,123.58,2026-04-02 10:33:00+00:00,
229,98,33,1,2530.05,2530.05,2026-05-02 10:20:00+00:00,
230,99,68,1,2766.36,2766.36,2026-06-01 07:44:00+00:00,2026-06-01 08:27:00+00:00
231,99,157,1,2512.28,2512.28,2026-06-01 08:11:00+00:00,
232,99,70,2,739.05,1478.1,2026-06-01 07:47:00+00:00,2026-06-01 07:52:00+00:00
233,100,188,1,93.17,93.17,2026-01-19 09:40:00+00:00,
234,100,67,1,2060.43,2060.43,2026-01-19 09:41:00+00:00,
235,101,137,2,1082.96,2165.92,2026-04-06 22:00:00+00:00,2026-04-06 22:41:00+00:00
236,101,216,1,299.76,299.76,2026-04-06 22:06:00+00:00,
237,101,131,1,444.39,444.39,2026-04-06 21:53:00+00:00,
238,101,83,2,288.27,576.54,2026-04-06 22:19:00+00:00,
239,102,148,1,327.69,327.69,2026-05-19 10:38:00+00:00,
240,102,54,1,4525.49,4525.49,2026-05-19 10:41:00+00:00,
241,103,108,2,323.59,647.18,2026-02-02 21:06:00+00:00,
242,104,279,2,431.18,862.36,2026-06-09 13:37:00+00:00,
243,104,56,3,2327.49,6982.47,2026-06-09 13:38:00+00:00,2026-06-09 13:50:00+00:00
244,104,294,1,148.92,148.92,2026-06-09 13:38:00+00:00,
245,104,163,1,404.4,404.4,2026-06-09 13:38:00+00:00,
246,104,295,2,152.53,305.06,2026-06-09 13:50:00+00:00,
247,104,208,2,153.52,307.04,2026-06-09 13:56:00+00:00,
248,105,263,2,127.26,254.52,2026-02-07 13:34:00+00:00,
249,105,25,1,4392.9,4392.9,2026-02-07 14:28:00+00:00,
250,106,277,1,158.56,158.56,2026-01-16 14:04:00+00:00,
251,106,112,1,530.72,530.72,2026-01-16 14:02:00+00:00,
252,106,212,1,256.26,256.26,2026-01-16 14:06:00+00:00,
253,107,151,1,1921.1,1921.1,2026-06-16 20:30:00+00:00,
254,107,75,2,287.1,574.2,2026-06-16 20:28:00+00:00,
255,107,290,1,79.6,79.6,2026-06-16 20:29:00+00:00,2026-06-16 20:33:00+00:00
256,108,126,1,213.49,213.49,2026-02-09 10:13:00+00:00,2026-02-09 10:34:00+00:00
257,108,164,1,1028.88,1028.88,2026-02-09 10:11:00+00:00,2026-02-09 10:40:00+00:00
258,108,285,1,361.96,361.96,2026-02-09 10:21:00+00:00,
259,108,146,1,2282.75,2282.75,2026-02-09 10:12:00+00:00,
260,109,191,2,517.94,1035.88,2026-05-09 10:34:00+00:00,
261,109,55,1,2019.18,2019.18,2026-05-09 10:37:00+00:00,
262,109,128,2,405.44,810.88,2026-05-09 10:37:00+00:00,
263,110,257,1,107.77,107.77,2026-06-06 23:38:00+00:00,
264,110,224,2,28.15,56.3,2026-06-06 23:38:00+00:00,
265,110,264,2,116.62,233.24,2026-06-06 23:48:00+00:00,
266,110,188,2,93.17,186.34,2026-06-06 23:37:00+00:00,
267,110,117,1,383.41,383.41,2026-06-06 23:52:00+00:00,2026-06-07 00:08:00+00:00
268,111,142,1,2373.85,2373.85,2026-06-15 15:15:00+00:00,
269,111,276,1,126.5,126.5,2026-06-15 15:28:00+00:00,2026-06-15 15:31:00+00:00
270,112,76,1,318.26,318.26,2026-04-28 14:05:00+00:00,
271,112,275,1,98.0,98.0,2026-04-28 14:02:00+00:00,
272,112,221,2,214.12,428.24,2026-04-28 14:15:00+00:00,
273,112,122,2,605.76,1211.52,2026-04-28 14:17:00+00:00,2026-04-28 14:19:00+00:00
274,113,101,1,332.15,332.15,2026-04-26 21:07:00+00:00,
275,113,281,1,147.91,147.91,2026-04-26 21:24:00+00:00,
276,114,39,2,503.84,1007.68,2026-05-27 15:03:00+00:00,
277,114,182,1,108.56,108.56,2026-05-27 15:05:00+00:00,
278,114,155,2,67.05,134.1,2026-05-27 15:03:00+00:00,
279,115,124,2,196.15,392.3,2026-05-17 16:26:00+00:00,
280,115,222,2,248.63,497.26,2026-05-17 16:30:00+00:00,
281,116,155,1,67.05,67.05,2026-01-06 12:40:00+00:00,2026-01-06 13:02:00+00:00
282,116,239,1,67.18,67.18,2026-01-06 12:38:00+00:00,
283,116,253,1,99.09,99.09,2026-01-06 12:44:00+00:00,2026-01-06 12:47:00+00:00
284,116,26,1,2918.26,2918.26,2026-01-06 13:12:00+00:00,
285,116,140,2,345.74,691.48,2026-01-06 12:42:00+00:00,
286,117,145,2,1153.55,2307.1,2026-05-12 12:31:00+00:00,2026-05-12 12:47:00+00:00
287,117,193,1,357.88,357.88,2026-05-12 12:36:00+00:00,2026-05-12 12:43:00+00:00
288,117,46,1,179.02,179.02,2026-05-12 12:47:00+00:00,
289,118,84,1,396.98,396.98,2026-03-23 17:40:00+00:00,
290,119,275,1,98.0,98.0,2026-04-23 08:46:00+00:00,
291,120,146,2,2282.75,4565.5,2026-05-10 17:52:00+00:00,2026-05-10 18:07:00+00:00
292,120,129,1,400.57,400.57,2026-05-10 17:51:00+00:00,
293,120,287,3,297.48,892.44,2026-05-10 17:53:00+00:00,
294,120,72,1,3157.05,3157.05,2026-05-10 18:06:00+00:00,
295,121,46,1,182.75,182.75,2026-04-27 14:31:00+00:00,
296,121,79,1,329.71,329.71,2026-04-27 14:29:00+00:00,
297,121,50,1,1962.53,1962.53,2026-04-27 14:26:00+00:00,
298,121,255,2,171.53,343.06,2026-04-27 14:50:00+00:00,
299,122,300,1,356.45,356.45,2026-06-15 17:47:00+00:00,
300,122,79,1,324.09,324.09,2026-06-15 17:42:00+00:00,
301,123,46,2,182.75,365.5,2026-03-01 13:13:00+00:00,
302,124,103,1,58.54,58.54,2026-01-03 15:33:00+00:00,
303,124,8,1,643.35,643.35,2026-01-03 15:34:00+00:00,
304,124,209,2,522.23,1044.46,2026-01-03 15:33:00+00:00,
305,125,234,2,188.23,376.46,2026-01-11 10:45:00+00:00,
306,125,190,1,498.88,498.88,2026-01-11 10:45:00+00:00,
307,126,116,1,469.36,469.36,2026-03-28 14:32:00+00:00,
308,126,88,2,182.7,365.4,2026-03-28 14:33:00+00:00,
309,127,232,1,47.39,47.39,2026-02-25 22:27:00+00:00,2026-02-25 22:45:00+00:00
310,127,49,2,1913.39,3826.78,2026-02-25 22:25:00+00:00,
311,128,252,2,39.95,79.9,2026-06-18 09:16:00+00:00,
312,128,275,1,98.0,98.0,2026-06-18 09:19:00+00:00,2026-06-18 09:36:00+00:00
313,128,88,1,182.7,182.7,2026-06-18 09:15:00+00:00,2026-06-18 09:25:00+00:00
314,128,173,1,2070.54,2070.54,2026-06-18 09:27:00+00:00,
315,129,124,1,196.15,196.15,2026-01-05 07:34:00+00:00,
316,129,235,2,361.8,723.6,2026-01-05 07:39:00+00:00,
317,129,15,1,2024.08,2024.08,2026-01-05 07:33:00+00:00,
318,129,67,1,2060.43,2060.43,2026-01-05 07:36:00+00:00,2026-01-05 07:38:00+00:00
319,130,275,1,98.0,98.0,2026-02-20 09:15:00+00:00,
320,130,111,1,312.13,312.13,2026-02-20 09:17:00+00:00,
321,131,135,1,257.36,257.36,2026-03-05 18:13:00+00:00,
322,131,52,1,159.71,159.71,2026-03-05 18:15:00+00:00,
323,131,146,1,2282.75,2282.75,2026-03-05 18:14:00+00:00,
324,132,135,1,257.36,257.36,2026-03-17 15:40:00+00:00,
325,132,165,1,2491.31,2491.31,2026-03-17 15:38:00+00:00,
326,133,166,1,1007.54,1007.54,2026-03-17 07:08:00+00:00,
327,133,31,1,515.98,515.98,2026-03-17 07:08:00+00:00,
328,134,147,1,455.96,455.96,2026-04-23 10:37:00+00:00,
329,134,129,1,400.57,400.57,2026-04-23 10:36:00+00:00,
330,134,43,2,3012.33,6024.66,2026-04-23 10:47:00+00:00,
331,135,14,1,2686.23,2686.23,2026-02-26 22:05:00+00:00,
332,136,128,1,395.21,395.21,2026-06-28 07:08:00+00:00,
333,136,182,2,113.31,226.62,2026-06-28 07:08:00+00:00,
334,137,268,1,54.46,54.46,2026-05-08 09:42:00+00:00,
335,137,134,1,213.86,213.86,2026-05-08 09:51:00+00:00,
336,138,229,2,271.04,542.08,2026-01-11 21:31:00+00:00,
337,139,228,1,292.64,292.64,2026-04-16 09:42:00+00:00,
338,139,297,1,484.8,484.8,2026-04-16 09:43:00+00:00,
339,140,21,1,1574.8,1574.8,2026-03-28 13:01:00+00:00,
340,140,143,1,2658.51,2658.51,2026-03-28 12:55:00+00:00,
341,140,205,2,266.97,533.94,2026-03-28 13:06:00+00:00,
342,140,132,3,255.34,766.02,2026-03-28 13:16:00+00:00,
343,141,210,2,311.06,622.12,2026-02-23 21:23:00+00:00,
344,142,235,2,379.36,758.72,2026-03-22 15:34:00+00:00,
345,142,271,1,497.15,497.15,2026-03-22 15:59:00+00:00,
346,143,49,2,1948.27,3896.54,2026-04-05 21:52:00+00:00,
347,143,84,1,396.98,396.98,2026-04-05 22:12:00+00:00,
348,143,85,1,161.61,161.61,2026-04-05 22:20:00+00:00,
349,144,18,1,4981.36,4981.36,2026-01-07 18:02:00+00:00,
350,144,216,2,299.76,599.52,2026-01-07 18:03:00+00:00,
351,145,126,1,213.49,213.49,2026-03-12 06:41:00+00:00,
352,146,126,1,213.49,213.49,2026-03-19 15:26:00+00:00,2026-03-19 15:28:00+00:00
353,146,277,1,160.87,160.87,2026-03-19 15:27:00+00:00,2026-03-19 15:28:00+00:00
354,146,161,1,777.31,777.31,2026-03-19 15:33:00+00:00,
355,147,67,1,2060.43,2060.43,2026-02-15 07:09:00+00:00,
356,147,199,1,459.85,459.85,2026-02-15 07:10:00+00:00,
357,147,194,2,697.87,1395.74,2026-02-15 07:22:00+00:00,
358,148,64,1,1858.42,1858.42,2026-04-24 10:40:00+00:00,
359,148,82,2,273.17,546.34,2026-04-24 10:36:00+00:00,2026-04-24 10:43:00+00:00
360,148,106,2,66.94,133.88,2026-04-24 10:38:00+00:00,
361,148,7,1,4257.59,4257.59,2026-04-24 10:39:00+00:00,
362,149,39,1,503.84,503.84,2026-06-20 21:30:00+00:00,
363,149,300,2,356.45,712.9,2026-06-20 21:29:00+00:00,
364,149,56,1,2327.49,2327.49,2026-06-20 21:37:00+00:00,
365,149,32,1,2350.04,2350.04,2026-06-20 21:31:00+00:00,
366,150,246,1,30.13,30.13,2026-04-04 21:18:00+00:00,
367,151,129,2,400.57,801.14,2026-01-07 06:19:00+00:00,2026-01-07 06:24:00+00:00
368,151,266,1,133.0,133.0,2026-01-07 06:22:00+00:00,
369,152,23,2,4423.2,8846.4,2026-05-11 16:59:00+00:00,
370,152,297,1,484.8,484.8,2026-05-11 17:09:00+00:00,
371,153,59,1,4040.6,4040.6,2026-05-27 10:16:00+00:00,
372,153,39,1,503.84,503.84,2026-05-27 10:24:00+00:00,
