carrinho_id,cliente_id,data_criacao,data_ultima_atividade,data_abandono,status,motivo_abandono,valor_subtotal,valor_frete,valor_desconto,valor_total,duracao_sessao_minutos,dispositivo,browser,canal_origem,cliente_novo,tem_conta_criada,created_at,updated_at
35,627,2026-02-10 12:48:00+00:00,2026-02-10 12:53:00+00:00,2026-02-10 12:53:00+00:00,abandonado,frete,374.55,12.76,0.0,387.31,3,mobile,Safari Mobile,google,False,True,2026-02-10 12:48:00+00:00,2026-02-10 12:53:00+00:00
36,872,2026-05-06 22:01:00+00:00,2026-05-06 22:06:00+00:00,2026-05-06 22:06:00+00:00,abandonado,nao_informado,39.7,6.45,0.0,46.15,4,desktop,Edge,facebook,False,True,2026-05-06 22:01:00+00:00,2026-05-06 22:06:00+00:00
37,633,2026-05-06 20:40:00+00:00,2026-05-06 21:10:00+00:00,2026-05-06 21:10:00+00:00,recuperado,pagamento,564.32,8.78,37.94,535.16,34,mobile,Chrome Mobile,instagram,False,True,2026-05-06 20:40:00+00:00,2026-05-06 21:10:00+00:00
38,20,2026-06-02 06:54:00+00:00,2026-06-02 07:13:00+00:00,2026-06-02 07:13:00+00:00,comprado,nao_informado,214.83,29.47,25.87,218.43,31,mobile,Safari Mobile,instagram,False,True,2026-06-02 06:54:00+00:00,2026-06-02 07:13:00+00:00
39,850,2026-06-05 23:42:00+00:00,2026-06-06 00:54:00+00:00,,comprado,,533.48,25.28,0.0,558.76,72,desktop,Safari,google,False,True,2026-06-05 23:42:00+00:00,2026-06-06 00:54:00+00:00
40,1307,2026-03-09 19:19:00+00:00,2026-03-09 19:31:00+00:00,2026-03-09 19:31:00+00:00,abandonado,pagamento,59.17,22.78,0.0,81.95,38,mobile,Chrome Mobile,email,False,True,2026-03-09 19:19:00+00:00,2026-03-09 19:31:00+00:00
41,909,2026-05-21 11:28:00+00:00,2026-05-21 11:49:00+00:00,,ativo,,463.3,43.71,0.0,507.01,21,mobile,Chrome Mobile,email,False,True,2026-05-21 11:28:00+00:00,2026-05-21 11:49:00+00:00
42,1197,2026-02-13 10:03:00+00:00,2026-02-13 10:40:00+00:00,2026-02-13 10:40:00+00:00,abandonado,preco,33.52,21.73,0.0,55.25,41,mobile,Samsung Internet,google,False,True,2026-02-13 10:03:00+00:00,2026-02-13 10:40:00+00:00
43,1249,2026-03-25 13:57:00+00:00,2026-03-25 14:20:00+00:00,2026-03-25 14:20:00+00:00,expirado,preco,130.85,22.81,0.0,153.66,26,mobile,Chrome Mobile,google,False,True,2026-03-25 13:57:00+00:00,2026-03-25 14:20:00+00:00
44,1177,2026-04-10 17:59:00+00:00,2026-04-10 18:59:00+00:00,,comprado,,367.8,34.5,0.0,402.3,60,tablet,Chrome,outros,False,True,2026-04-10 17:59:00+00:00,2026-04-10 18:59:00+00:00
45,1410,2026-06-22 18:58:00+00:00,2026-06-22 19:03:00+00:00,2026-06-22 19:03:00+00:00,abandonado,pagamento,343.01,13.34,0.0,356.35,7,desktop,Chrome,facebook,False,True,2026-06-22 18:58:00+00:00,2026-06-22 19:03:00+00:00
46,79,2026-06-08 16:12:00+00:00,2026-06-08 16:44:00+00:00,2026-06-08 16:44:00+00:00,abandonado,indecisao,757.69,31.59,0.0,789.28,38,mobile,Safari Mobile,instagram,False,True,2026-06-08 16:12:00+00:00,2026-06-08 16:44:00+00:00
47,600,2026-01-11 22:05:00+00:00,2026-01-11 22:55:00+00:00,,comprado,,283.75,29.34,0.0,313.09,50,mobile,Safari Mobile,instagram,False,True,2026-01-11 22:05:00+00:00,2026-01-11 22:55:00+00:00
48,932,2026-01-03 22:58:00+00:00,2026-01-03 23:22:00+00:00,2026-01-03 23:22:00+00:00,abandonado,frete,171.58,11.42,0.0,183.0,36,desktop,Chrome,google,True,True,2026-01-03 22:58:00+00:00,2026-01-03 23:22:00+00:00
49,316,2026-01-24 13:03:00+00:00,2026-01-24 13:24:00+00:00,2026-01-24 13:24:00+00:00,abandonado,frete,42.08,17.96,0.0,60.04,29,mobile,Safari Mobile,instagram,True,True,2026-01-24 13:03:00+00:00,2026-01-24 13:24:00+00:00
50,838,2026-01-15 11:12:00+00:00,2026-01-15 11:25:00+00:00,2026-01-15 11:25:00+00:00,abandonado,indecisao,170.59,13.54,0.0,184.13,20,mobile,Safari Mobile,google,False,True,2026-01-15 11:12:00+00:00,2026-01-15 11:25:00+00:00
51,700,2026-01-18 06:57:00+00:00,2026-01-18 07:05:00+00:00,2026-01-18 07:05:00+00:00,abandonado,indecisao,578.52,22.32,0.0,600.84,27,mobile,Chrome Mobile,outros,False,True,2026-01-18 06:57:00+00:00,2026-01-18 07:05:00+00:00
52,335,2026-01-27 09:53:00+00:00,2026-01-27 10:30:00+00:00,,ativo,,727.74,18.56,0.0,746.3,37,mobile,Samsung Internet,direct,False,True,2026-01-27 09:53:00+00:00,2026-01-27 10:30:00+00:00
53,1394,2026-04-13 09:21:00+00:00,2026-04-13 09:39:00+00:00,2026-04-13 09:39:00+00:00,abandonado,preco,489.14,9.72,0.0,498.86,35,desktop,Safari,direct,False,True,2026-04-13 09:21:00+00:00,2026-04-13 09:39:00+00:00
54,1025,2026-05-20 19:00:00+00:00,2026-05-20 19:17:00+00:00,2026-05-20 19:17:00+00:00,abandonado,preco,162.85,14.02,0.0,176.87,28,tablet,Chrome,google,False,True,2026-05-20 19:00:00+00:00,2026-05-20 19:17:00+00:00
55,884,2026-06-14 10:40:00+00:00,2026-06-14 10:51:00+00:00,2026-06-14 10:51:00+00:00,abandonado,frete,31.63,13.36,0.0,44.99,43,desktop,Safari,instagram,False,True,2026-06-14 10:40:00+00:00,2026-06-14 10:51:00+00:00
56,1111,2026-02-28 12:20:00+00:00,2026-02-28 13:34:00+00:00,,comprado,,575.9,6.29,0.0,582.19,74,desktop,Firefox,google,False,True,2026-02-28 12:20:00+00:00,2026-02-28 13:34:00+00:00
57,140,2026-01-28 06:39:00+00:00,2026-01-28 07:54:00+00:00,,comprado,,129.97,19.34,0.0,149.31,75,desktop,Firefox,direct,True,False,2026-01-28 06:39:00+00:00,2026-01-28 07:54:00+00:00
58,411,2026-02-21 14:45:00+00:00,2026-02-21 14:50:00+00:00,2026-02-21 14:50:00+00:00,abandonado,frete,893.7,20.65,0.0,914.35,4,mobile,Safari Mobile,email,False,True,2026-02-21 14:45:00+00:00,2026-02-21 14:50:00+00:00
59,77,2026-01-15 18:45:00+00:00,2026-01-15 20:06:00+00:00,,comprado,,532.31,38.11,0.0,570.42,81,mobile,Safari Mobile,direct,False,True,2026-01-15 18:45:00+00:00,2026-01-15 20:06:00+00:00
60,263,2026-03-25 13:28:00+00:00,2026-03-25 13:39:00+00:00,2026-03-25 13:39:00+00:00,abandonado,pagamento,840.55,29.72,0.0,870.27,33,mobile,Samsung Internet,google,False,True,2026-03-25 13:28:00+00:00,2026-03-25 13:39:00+00:00
61,328,2026-03-25 07:20:00+00:00,2026-03-25 07:32:00+00:00,2026-03-25 07:32:00+00:00,expirado,estoque,813.64,25.42,0.0,839.06,17,mobile,Samsung Internet,email,True,True,2026-03-25 07:20:00+00:00,2026-03-25 07:32:00+00:00
62,193,2026-03-10 08:20:00+00:00,2026-03-10 09:22:00+00:00,,comprado,,262.28,23.36,0.0,285.64,62,desktop,Chrome,google,False,True,2026-03-10 08:20:00+00:00,2026-03-10 09:22:00+00:00
63,724,2026-05-17 20:51:00+00:00,2026-05-17 21:22:00+00:00,2026-05-17 21:22:00+00:00,abandonado,pagamento,261.35,21.68,0.0,283.03,43,mobile,Chrome Mobile,direct,True,False,2026-05-17 20:51:00+00:00,2026-05-17 21:22:00+00:00
64,211,2026-06-07 12:46:00+00:00,2026-06-07 13:18:00+00:00,,comprado,,90.92,42.87,0.0,133.79,32,mobile,Chrome Mobile,google,False,True,2026-06-07 12:46:00+00:00,2026-06-07 13:18:00+00:00
65,273,2026-03-19 18:08:00+00:00,2026-03-19 18:30:00+00:00,2026-03-19 18:30:00+00:00,abandonado,estoque,686.83,20.53,0.0,707.36,26,mobile,Safari Mobile,facebook,False,True,2026-03-19 18:08:00+00:00,2026-03-19 18:30:00+00:00
66,835,2026-03-04 19:11:00+00:00,2026-03-04 19:17:00+00:00,2026-03-04 19:17:00+00:00,abandonado,pagamento,99.35,28.6,0.0,127.95,42,tablet,Chrome,facebook,False,True,2026-03-04 19:11:00+00:00,2026-03-04 19:17:00+00:00
67,990,2026-05-21 07:02:00+00:00,2026-05-21 07:09:00+00:00,2026-05-21 07:09:00+00:00,abandonado,preco,217.39,27.94,0.0,245.33,8,desktop,Safari,direct,False,True,2026-05-21 07:02:00+00:00,2026-05-21 07:09:00+00:00
68,808,2026-01-01 22:29:00+00:00,2026-01-01 22:35:00+00:00,2026-01-01 22:35:00+00:00,comprado,indecisao,202.52,20.89,18.53,204.88,19,desktop,Chrome,direct,False,True,2026-01-01 22:29:00+00:00,2026-01-01 22:35:00+00:00
69,811,2026-05-05 16:28:00+00:00,2026-05-05 16:33:00+00:00,2026-05-05 16:33:00+00:00,abandonado,preco,48.73,42.93,0.0,91.66,37,mobile,Safari Mobile,google,False,True,2026-05-05 16:28:00+00:00,2026-05-05 16:33:00+00:00
70,1024,2026-06-14 10:24:00+00:00,2026-06-14 10:29:00+00:00,2026-06-14 10:29:00+00:00,abandonado,indecisao,160.48,21.89,0.0,182.37,13,desktop,Safari,google,False,True,2026-06-14 10:24:00+00:00,2026-06-14 10:29:00+00:00
71,736,2026-05-09 07:33:00+00:00,2026-05-09 07:58:00+00:00,2026-05-09 07:58:00+00:00,abandonado,indecisao,164.07,42.75,0.0,206.82,44,desktop,Firefox,outros,False,True,2026-05-09 07:33:00+00:00,2026-05-09 07:58:00+00:00
72,671,2026-06-08 16:49:00+00:00,2026-06-08 17:27:00+00:00,2026-06-08 17:27:00+00:00,abandonado,indecisao,90.56,12.83,0.0,103.39,42,mobile,Samsung Internet,facebook,False,True,2026-06-08 16:49:00+00:00,2026-06-08 17:27:00+00:00
73,954,2026-04-06 19:55:00+00:00,2026-04-06 20:15:00+00:00,,comprado,,286.3,21.78,0.0,308.08,20,desktop,Chrome,facebook,False,True,2026-04-06 19:55:00+00:00,2026-04-06 20:15:00+00:00
74,6,2026-03-05 19:53:00+00:00,2026-03-05 20:02:00+00:00,2026-03-05 20:02:00+00:00,abandonado,pagamento,213.92,19.09,0.0,233.01,10,tablet,Chrome,direct,False,True,2026-03-05 19:53:00+00:00,2026-03-05 20:02:00+00:00
75,174,2026-05-22 12:04:00+00:00,2026-05-22 12:23:00+00:00,2026-05-22 12:23:00+00:00,comprado,frete,181.02,31.95,15.8,197.17,28,desktop,Firefox,outros,False,True,2026-05-22 12:04:00+00:00,2026-05-22 12:23:00+00:00
76,1454,2026-04-02 19:49:00+00:00,2026-04-02 19:56:00+00:00,,ativo,,120.0,36.06,0.0,156.06,7,tablet,Safari,facebook,False,True,2026-04-02 19:49:00+00:00,2026-04-02 19:56:00+00:00
77,989,2026-03-20 08:41:00+00:00,2026-03-20 08:54:00+00:00,2026-03-20 08:54:00+00:00,abandonado,indecisao,317.19,17.19,0.0,334.38,16,mobile,Samsung Internet,direct,False,True,2026-03-20 08:41:00+00:00,2026-03-20 08:54:00+00:00
78,659,2026-02-13 17:46:00+00:00,2026-02-13 18:48:00+00:00,,comprado,,148.48,16.27,0.0,164.75,62,mobile,Safari Mobile,instagram,False,True,2026-02-13 17:46:00+00:00,2026-02-13 18:48:00+00:00
79,1118,2026-05-18 22:06:00+00:00,2026-05-18 22:24:00+00:00,2026-05-18 22:24:00+00:00,abandonado,pagamento,664.85,38.18,0.0,703.03,23,mobile,Chrome Mobile,email,False,True,2026-05-18 22:06:00+00:00,2026-05-18 22:24:00+00:00
80,981,2026-06-23 23:47:00+00:00,2026-06-24 01:12:00+00:00,,comprado,,459.36,24.99,0.0,484.35,85,mobile,Samsung Internet,google,False,True,2026-06-23 23:47:00+00:00,2026-06-24 01:12:00+00:00
81,37,2026-02-18 16:34:00+00:00,2026-02-18 16:42:00+00:00,2026-02-18 16:42:00+00:00,expirado,frete,23.56,21.66,0.0,45.22,12,mobile,Safari Mobile,outros,False,True,2026-02-18 16:34:00+00:00,2026-02-18 16:42:00+00:00
82,141,2026-04-19 18:47:00+00:00,2026-04-19 19:28:00+00:00,,ativo,,266.52,42.09,0.0,308.61,41,mobile,Safari Mobile,facebook,False,True,2026-04-19 18:47:00+00:00,2026-04-19 19:28:00+00:00
83,1042,2026-01-01 16:47:00+00:00,2026-01-01 17:24:00+00:00,,comprado,,241.58,26.95,0.0,268.53,37,desktop,Edge,outros,False,True,2026-01-01 16:47:00+00:00,2026-01-01 17:24:00+00:00
84,105,2026-03-22 19:32:00+00:00,2026-03-22 19:59:00+00:00,2026-03-22 19:59:00+00:00,comprado,preco,324.01,28.21,19.9,332.32,33,desktop,Chrome,direct,False,True,2026-03-22 19:32:00+00:00,2026-03-22 19:59:00+00:00
85,380,2026-05-21 22:50:00+00:00,2026-05-21 23:02:00+00:00,2026-05-21 23:02:00+00:00,expirado,pagamento,309.96,7.31,0.0,317.27,17,mobile,Samsung Internet,google,False,True,2026-05-21 22:50:00+00:00,2026-05-21 23:02:00+00:00
86,870,2026-02-21 08:41:00+00:00,2026-02-21 08:58:00+00:00,2026-02-21 08:58:00+00:00,abandonado,preco,711.75,34.8,0.0,746.55,43,mobile,Safari Mobile,instagram,True,True,2026-02-21 08:41:00+00:00,2026-02-21 08:58:00+00:00
87,365,2026-05-28 10:32:00+00:00,2026-05-28 10:41:00+00:00,2026-05-28 10:41:00+00:00,abandonado,frete,215.34,28.9,0.0,244.24,15,mobile,Samsung Internet,outros,True,True,2026-05-28 10:32:00+00:00,2026-05-28 10:41:00+00:00
88,779,2026-01-21 17:40:00+00:00,2026-01-21 18:33:00+00:00,,ativo,,339.13,34.21,0.0,373.34,53,desktop,Firefox,outros,False,True,2026-01-21 17:40:00+00:00,2026-01-21 18:33:00+00:00
89,326,2026-03-17 12:53:00+00:00,2026-03-17 14:15:00+00:00,,comprado,,69.84,32.86,0.0,102.7,82,desktop,Chrome,email,True,True,2026-03-17 12:53:00+00:00,2026-03-17 14:15:00+00:00
90,1233,2026-06-19 06:56:00+00:00,2026-06-19 07:01:00+00:00,2026-06-19 07:01:00+00:00,abandonado,preco,498.48,35.73,0.0,534.21,4,desktop,Firefox,direct,False,True,2026-06-19 06:56:00+00:00,2026-06-19 07:01:00+00:00
91,1036,2026-01-10 09:49:00+00:00,2026-01-10 10:16:00+00:00,2026-01-10 10:16:00+00:00,abandonado,preco,636.28,14.68,0.0,650.96,29,mobile,Safari Mobile,google,False,True,2026-01-10 09:49:00+00:00,2026-01-10 10:16:00+00:00
92,258,2026-04-17 10:29:00+00:00,2026-04-17 10:36:00+00:00,2026-04-17 10:36:00+00:00,abandonado,pagamento,151.8,31.17,0.0,182.97,11,desktop,Edge,google,False,True,2026-04-17 10:29:00+00:00,2026-04-17 10:36:00+00:00
93,39,2026-06-10 11:44:00+00:00,2026-06-10 11:56:00+00:00,2026-06-10 11:56:00+00:00,abandonado,preco,364.93,11.14,0.0,376.07,22,mobile,Chrome Mobile,google,False,True,2026-06-10 11:44:00+00:00,2026-06-10 11:56:00+00:00
94,274,2026-01-14 14:15:00+00:00,2026-01-14 14:20:00+00:00,2026-01-14 14:20:00+00:00,abandonado,indecisao,518.55,15.61,0.0,534.16,3,desktop,Firefox,facebook,False,True,2026-01-14 14:15:00+00:00,2026-01-14 14:20:00+00:00
95,1162,2026-02-26 18:39:00+00:00,2026-02-26 18:45:00+00:00,2026-02-26 18:45:00+00:00,expirado,frete,108.56,6.88,0.0,115.44,12,mobile,Safari Mobile,facebook,False,True,2026-02-26 18:39:00+00:00,2026-02-26 18:45:00+00:00
96,1194,2026-04-06 19:25:00+00:00,2026-04-06 20:13:00+00:00,,ativo,,120.0,9.43,0.0,129.43,48,desktop,Safari,instagram,False,True,2026-04-06 19:25:00+00:00,2026-04-06 20:13:00+00:00
97,1237,2026-04-02 09:58:00+00:00,2026-04-02 10:44:00+00:00,,comprado,,130.95,8.76,0.0,139.71,46,mobile,Safari Mobile,google,False,True,2026-04-02 09:58:00+00:00,2026-04-02 10:44:00+00:00
98,217,2026-05-02 10:08:00+00:00,2026-05-02 10:44:00+00:00,2026-05-02 10:44:00+00:00,abandonado,frete,154.65,37.07,0.0,191.72,41,desktop,Firefox,instagram,False,True,2026-05-02 10:08:00+00:00,2026-05-02 10:44:00+00:00
99,1164,2026-06-01 07:43:00+00:00,2026-06-01 08:47:00+00:00,,comprado,,643.58,30.02,0.0,673.6,64,desktop,Chrome,email,False,True,2026-06-01 07:43:00+00:00,2026-06-01 08:47:00+00:00
100,349,2026-01-19 09:40:00+00:00,2026-01-19 09:50:00+00:00,2026-01-19 09:50:00+00:00,abandonado,indecisao,462.52,29.75,0.0,492.27,13,mobile,Chrome Mobile,google,False,True,2026-01-19 09:40:00+00:00,2026-01-19 09:50:00+00:00
101,1106,2026-04-06 21:48:00+00:00,2026-04-06 22:42:00+00:00,,comprado,,292.31,22.89,0.0,315.2,54,mobile,Samsung Internet,google,False,True,2026-04-06 21:48:00+00:00,2026-04-06 22:42:00+00:00
102,563,2026-05-19 10:37:00+00:00,2026-05-19 10:47:00+00:00,2026-05-19 10:47:00+00:00,abandonado,indecisao,58.57,40.94,0.0,99.51,39,tablet,Safari,facebook,False,True,2026-05-19 10:37:00+00:00,2026-05-19 10:47:00+00:00
103,449,2026-02-02 20:49:00+00:00,2026-02-02 20:56:00+00:00,2026-02-02 20:56:00+00:00,abandonado,preco,531.02,38.42,0.0,569.44,18,mobile,Samsung Internet,direct,False,True,2026-02-02 20:49:00+00:00,2026-02-02 20:56:00+00:00
104,1443,2026-06-09 13:37:00+00:00,2026-06-09 13:44:00+00:00,2026-06-09 13:44:00+00:00,abandonado,indecisao,102.12,40.46,0.0,142.58,24,tablet,Safari,instagram,False,True,2026-06-09 13:37:00+00:00,2026-06-09 13:44:00+00:00
105,868,2026-02-07 13:34:00+00:00,2026-02-07 14:41:00+00:00,,comprado,,266.79,43.41,0.0,310.2,67,tablet,Chrome,google,False,True,2026-02-07 13:34:00+00:00,2026-02-07 14:41:00+00:00
106,664,2026-01-16 14:01:00+00:00,2026-01-16 14:07:00+00:00,2026-01-16 14:07:00+00:00,expirado,nao_informado,465.77,24.23,0.0,490.0,13,tablet,Safari,direct,False,True,2026-01-16 14:01:00+00:00,2026-01-16 14:07:00+00:00
107,1265,2026-06-16 20:28:00+00:00,2026-06-16 20:36:00+00:00,2026-06-16 20:36:00+00:00,abandonado,preco,273.07,34.78,0.0,307.85,8,desktop,Safari,direct,True,True,2026-06-16 20:28:00+00:00,2026-06-16 20:36:00+00:00
108,1133,2026-02-09 10:08:00+00:00,2026-02-09 10:24:00+00:00,2026-02-09 10:24:00+00:00,abandonado,preco,146.29,41.31,0.0,187.6,29,mobile,Samsung Internet,google,False,True,2026-02-09 10:08:00+00:00,2026-02-09 10:24:00+00:00
